Result,"Shape","Value","Focus","Symbol","Reputation","Distinctive Feature"
prefix,"This spire's architecture is","; they most value"," and focus their efforts on","; their symbol is","; they are known for being"," and for having"
0,"spiraling","money","transcendance","a griffin","brave","metallic veins"
1,"sheer","power","automata","a squid","adventurous","silver tears"
2,"ovoid","secrets","the Craft","an eagle","vengeful","flammable blood"
3,"finger-like","artifacts","Supplication","a scorpion","creative","snake-like noses"
4,"branching","art","poetry","a bat","arrogant","full manes"
5,"diamond-shaped","scrolls","architecture","a drake","devout","ears which are just holes"
6,"octagonal","loyalty","religion","a crab","charitable","abornally tall frames"
7,"star-shaped","neutrality","control","a serpent","jealous","prehensile hair"
8,"monolithic","law","military","a feather","manipulative","breath that frosts the air"
9,"polygonal","fame","pleasure","a dagger","prim","opaline skin"
â˜€ï¸ï¸ï¸ï¸ï¸ï¸ï¸ï¸,"spear-shaped","glory","recognition","a lens","rigid","bodies covered in soft fur"
ğŸŒ‘,"fractal","peace","wealth","the shattered moon","tireless","entirely black eyes"